backend,condition,embedding_name,homology_dim,interval_count_mean,finite_count_mean,lifetime_mean,lifetime_max_mean,persistence_entropy_mean
ripser,aes128_ctr_keystream_zero_plaintext,byte_pair_2d,0,3977.75,3976.75,0.010526120041580525,0.028810073854401673,8.192603842479873
ripser,aes128_ctr_keystream_zero_plaintext,byte_pair_2d,1,1000.0,1000.0,0.005926603012787988,0.0343370614573359,6.500745200216093
ripser,aes128_ctr_keystream_zero_plaintext,sliding_window_8d,0,2048.0,764.875,0.30592405461753547,0.3499491885304451,6.629008635602016
ripser,aes128_ctr_keystream_zero_plaintext,sliding_window_8d,1,5.375,1.625,0.007731705655654238,0.010321903973817813,0.4305494083373055
ripser,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,0,3978.5,3977.5,0.01053158012381245,0.029801459284499225,8.193047461645886
ripser,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,1,1013.25,1013.25,0.005901160537673038,0.036568433512002174,6.512639645153761
ripser,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,0,2048.0,825.5,0.305474528675319,0.34994644299149513,6.707037167504629
ripser,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,1,6.125,1.5,0.006983638741075974,0.010058172047138188,0.3622932796433058
ripser,lcg_weak,byte_pair_2d,0,4011.375,4010.375,0.010529323109931087,0.029513748129829737,8.200662628295834
ripser,lcg_weak,byte_pair_2d,1,1020.625,1020.625,0.005864594787655113,0.0355576430447399,6.527031333205692
ripser,lcg_weak,sliding_window_8d,0,2048.0,817.125,0.30560999906283054,0.34995193779468536,6.694790241273146
ripser,lcg_weak,sliding_window_8d,1,6.75,1.5,0.01015832337240375,0.012527350336313213,0.3890764355312221
ripser,os_csprng,byte_pair_2d,0,3982.5,3981.5,0.010543331085959338,0.029907012823969063,8.192307039532759
ripser,os_csprng,byte_pair_2d,1,1000.75,1000.75,0.005963793374692637,0.03409120999276634,6.509897587741829
ripser,os_csprng,sliding_window_8d,0,2048.0,785.875,0.30583863065664607,0.3499052412807941,6.657565762336363
ripser,os_csprng,sliding_window_8d,1,4.5,1.0,0.006324755027890175,0.010186880826950037,0.0656861482631377
ripser,sha256_seeded_baseline,byte_pair_2d,0,3976.375,3975.375,0.01053225153055675,0.028285556240007212,8.192609294659912
ripser,sha256_seeded_baseline,byte_pair_2d,1,1006.75,1006.75,0.005852270934885525,0.034475564025342416,6.503258904093809
ripser,sha256_seeded_baseline,sliding_window_8d,0,2048.0,787.75,0.30660847485234677,0.34993545711040497,6.660309432842762
ripser,sha256_seeded_baseline,sliding_window_8d,1,4.125,1.125,0.0032870421806971,0.0050583854317665,0.21578625548366948
ripser,xorshift32_weak,byte_pair_2d,0,3981.125,3980.125,0.010554066746091524,0.02729852544143791,8.1931201266964
ripser,xorshift32_weak,byte_pair_2d,1,1023.125,1023.125,0.005843708412528088,0.039001894416287514,6.519015725556164
ripser,xorshift32_weak,sliding_window_8d,0,2048.0,779.125,0.30622937693835084,0.3499574288725853,6.649354280251502
ripser,xorshift32_weak,sliding_window_8d,1,3.375,0.75,0.0032627371450265003,0.0046916417777538005,0.07420180525414603
